uid,ifc_class,name,tier_label,neighbor_count,top1_title,top1_score,top1_source,top1_path
IfcPipeSegment-1F4KLUGJf1aAa0YXxTvOR5,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0uGYOC9Nz33PfGM5uuVHhW,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-259jK4QKD3OPEdfCl4GH_l,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0_AaoqH0fA_wWg2hQ6QoLY,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0X_fsZ0Kj9a8olHcZQNbJM,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-3Awuj1sjH8ERw7F1J6oBZs,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-3D4ahkhjP7dujyPNisZ2F$,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0FQ6pMwzXBJucYaRTqfuw2,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-0yh8Z9_qzCIgcsXg7r4Ix6,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-1PI8m4Ts17Z8hvG889Pb1i,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
IfcPipeSegment-398dvTdH9FKwML6pMEemhK,IfcPipeSegment,sewer pipe,Piping,1,ifcpipesegment,20.934430108629254,ifc_schema,ifchvacdomain/lexical/ifcpipesegment.htm
