asset_id,flag,reason
24250d00-feb2-5077-a76c-3d1692d6c819,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
3eb63092-2721-50b1-9672-04feece4194f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
e77bdc63-c932-590c-b86f-3803056ac393,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
394c355d-6029-5aaf-95f8-52cc8bd8e01d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
776c9b09-2e90-56b7-b3c4-818d857043e0,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
2a71915a-346a-5a4b-8e7a-82a22dac5738,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
6b90b34d-0d79-552c-bdeb-41ffe4daf5a3,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
523bac7c-66dd-50ee-b303-a806e83d1956,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
98782e35-e8ec-555e-9287-e8eed1d9f642,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
74e1a539-1210-5b62-bb66-570b20ea5688,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
bbb719f6-b794-5813-83ae-cceba569818e,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
cc3e0186-5211-5577-bc6b-156692695c34,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
3659bbc5-fc6c-53ae-bda2-79d84b30ef4b,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
8e43ec4a-f2d2-54da-92b7-b59e2383284f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
59238097-891c-554b-a0c5-677eb8f8a7df,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
a7c6ac83-9cde-57f2-a063-5c64de28b8e3,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
87ef963f-9af5-5403-942f-1812fa773541,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
24e467c3-c0e9-5f20-a500-2377d290385c,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
d0fe0376-f953-50fa-9e1b-59a47582dc66,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
e7044d85-6569-5b4d-b814-baff65622da1,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
252e9a79-3b2d-5dde-8c9d-55e2e6d0eb71,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
44684673-5329-5b8c-8bdc-1dfd0f46d7c0,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
f6741075-1082-5490-b36c-9ef19d76b500,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
42867dad-2cc8-56a4-b371-f63420b60157,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
fd42c3a2-3463-5efc-8ac3-72e1caa4bc6a,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
23742c0a-aac2-5805-a790-d5c5cb92d849,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
692eebad-b8a9-5f52-a1e9-8817f67fae48,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
7e15d15b-9a9a-5d0d-984f-856b60ad555f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
6c96940e-6855-5d9b-8539-fc8f5f38b392,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
23cff000-9877-5e78-86d0-bf509ea4a6fb,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
82198fba-aba6-5c31-b6e8-7ae52fec129d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
57c1acc4-971c-5981-9af6-840968cf1aad,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
bb68bfb1-8ad5-545e-b102-f07ae533ee60,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
c37095bb-e85d-5bee-92a0-2d27f981ebc7,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
a2aecbde-1bfe-5c49-8fac-33c996a90f6f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
a9efc33e-e1c2-59f9-93cb-37bf6227321c,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
be311a00-f399-54c9-b15d-0d21193caa13,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
8ad275c0-0200-51ff-a31c-0a395dd35f0b,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
ee8cb033-0b75-56e4-a78c-c8decdbfbf56,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
39b6d6ae-7da9-5b2e-981e-9aed440fdd4a,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
93680653-c48b-565d-be29-76c59a21d685,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
db34cf11-9e1c-5a5c-9173-e9001fb56c48,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
9237eaf6-b4f4-5dbb-a66c-1499a072e559,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
48914a60-adfd-5819-b975-04be547a51fd,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
9ba801b5-3fe7-5698-9ce6-484651620e3d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
a2b2ba28-fcc1-5cf7-a996-fbbd1dff43fa,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
3293d812-39d1-58c0-b9d9-10903bbad46e,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
7965d47e-35e1-55e5-bde0-982264ac839f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
7bc57c35-9c92-53ba-84c2-134728eeb557,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
0d0252f5-a21d-50d9-8385-722ff556c567,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
d0c586e5-ff00-5254-9786-fc829770de6a,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
b65067c4-18c4-57a2-9ebb-996197ad3dd9,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
2176a32c-aef5-5ca9-b70b-4a0fc619ff62,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
06700734-0f4b-5037-ab1f-d3c474e16160,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
e897df5c-62c4-5a9e-9d58-434f50d92399,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
831070e0-8628-55e1-b757-c6d10ba73c1d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
6bb32080-efdb-5eb2-bd27-ccd2271b8b42,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
059643f9-d56d-5bce-bcd7-5100df232548,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
120b279d-fea0-5f03-ab02-d064b50a5d60,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
bc41c24c-e94e-5440-83a1-cbe348b90ec6,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
0272fd89-67fd-5d0b-8fd2-458c937cad98,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
c3e4bcb6-c7cf-5a85-9476-18f53bdabba9,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
d7990b5f-3003-5a6f-8a54-5db09d964a70,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
0b9b0a06-cc2c-5175-abf8-36941de6713b,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
4c6ed9e2-7ba4-57bd-a5bf-1df436fb92e8,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
08ffc289-ec99-574b-9127-73be73b0077f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
ee02450a-a0bf-5a43-b11a-b9e684f49dce,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
4f372774-ad42-56b5-b5e3-bad7755bbdac,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
4491a669-eb0b-58e7-baf5-c9a64e879858,OUT_OF_RANGE,Width: value 2140.0 > max 2000.0
4491a669-eb0b-58e7-baf5-c9a64e879858,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
502ea3ad-ca4d-5c36-9cf3-6e4b95c55bee,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
5d1ff0b7-ea66-5d97-8522-2a97eddaae60,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
e93a0817-58ab-5752-941e-92d4788de7a7,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
2e534b50-e611-58ff-a072-73b08dd8961b,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
93c4d0e6-731c-5b26-8930-eeb64fbea3d7,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
1f766720-eca3-5974-a68a-4f154782d7aa,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
760eebfd-0c32-594c-b4bf-99b666168256,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
82116991-1555-580f-aa67-398159302203,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
69fa00ca-2b87-5bd6-bbcf-3f05100f4e42,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
7ad605a1-aab5-5b28-8c09-886c109fcd6d,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
3094a6fb-cc87-5eed-a81b-bda969b16268,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
25da2900-2220-5ba3-81cd-e372c8b467d2,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
47b30419-1f62-56e1-b8f7-d3cfb26c7a9b,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
857dd90e-1f83-5c08-a1e8-e0f25a09b3f0,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
d28763e0-8721-5cea-bdff-859fd58700f4,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
4405ec7c-327b-5d86-ac5d-9f842e882176,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
62edbc0c-3c09-592f-943a-3f235b84404f,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
7acb7b28-b5c2-57d8-b781-1bf1b85a3089,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
365d06d8-36f1-5be6-bad8-dea93c72a663,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
483fc5f9-a28f-589e-b993-ded99a1cb314,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
666bd1e7-9ed4-50a0-90e3-61805c87d5f0,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
ad749894-41f2-5794-a3f5-4d8408ea91c6,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
c8a5a625-6845-513a-a9a3-a69e0ac50452,INCONSISTENT_NEIGHBOR,"relation 'fillsWall': expected at least 1, got 0"
