asset_id,relation,direction,neighbor_class,neighbor_name,neighbor_uid
b308ed44-3cc2-5cbe-ba6b-3a9fbbd4543d,ContainedIn,up,IfcSpace,31,IfcSpace-2oBLA5YgD2FBMABn8wAmw9
b308ed44-3cc2-5cbe-ba6b-3a9fbbd4543d,Aggregates,down,IfcDistributionPort,OutPort_446921,IfcDistributionPort-1DGAPGEB1AwxqXQqYDHTq6
b308ed44-3cc2-5cbe-ba6b-3a9fbbd4543d,Aggregates,down,IfcDistributionPort,InPort_446921,IfcDistributionPort-0HwMeNgUD9tg6KTraLWGrN
f95732a7-f87f-5cd7-aa20-1b5fc81a57c2,ContainedIn,up,IfcSpace,31,IfcSpace-2oBLA5YgD2FBMABn8wAmw9
f95732a7-f87f-5cd7-aa20-1b5fc81a57c2,Aggregates,down,IfcDistributionPort,OutPort_446922,IfcDistributionPort-0k4LiFi4v58foxMppZB3iS
dfe0e942-8fdf-5251-9524-d1557f3b7980,ContainedIn,up,IfcSpace,31,IfcSpace-2oBLA5YgD2FBMABn8wAmw9
dfe0e942-8fdf-5251-9524-d1557f3b7980,Aggregates,down,IfcDistributionPort,OutPort_446930,IfcDistributionPort-3d2q7c0mr1GOP9hDdy8Rl7
dfe0e942-8fdf-5251-9524-d1557f3b7980,Aggregates,down,IfcDistributionPort,InPort_446930,IfcDistributionPort-1d$ty243b6WQacYXkoqn27
861e2e91-3302-55ff-9707-af360915a0fd,ContainedIn,up,IfcSpace,31,IfcSpace-2oBLA5YgD2FBMABn8wAmw9
861e2e91-3302-55ff-9707-af360915a0fd,Aggregates,down,IfcDistributionPort,OutPort_446931,IfcDistributionPort-1yXXM2MOrBFgRR83zVoqtc
861e2e91-3302-55ff-9707-af360915a0fd,Aggregates,down,IfcDistributionPort,InPort_446931,IfcDistributionPort-1JPuD4zab3vubpxfXden2c
80609ca8-8921-59f6-9676-b12b0ddb7d20,ContainedIn,up,IfcSpace,31,IfcSpace-2oBLA5YgD2FBMABn8wAmw9
80609ca8-8921-59f6-9676-b12b0ddb7d20,Aggregates,down,IfcDistributionPort,OutPort_446932,IfcDistributionPort-0VGLxi8GzDkgVJbdvP9tSg
7fcb9301-e618-5b7e-9974-17aa068b3210,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
7fcb9301-e618-5b7e-9974-17aa068b3210,Aggregates,down,IfcDistributionPort,InPort_446960,IfcDistributionPort-2M_8Czc4n7g83eKg24brM0
7fcb9301-e618-5b7e-9974-17aa068b3210,Aggregates,down,IfcDistributionPort,InPort_446960,IfcDistributionPort-3gP9TQGADDNOeNGTDFoNSY
7fcb9301-e618-5b7e-9974-17aa068b3210,Aggregates,down,IfcDistributionPort,InPort_446960,IfcDistributionPort-3KR$ONvUzBgenoDohnMBDB
2af07c59-ead1-519d-b8bb-4060a06cbef3,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
2af07c59-ead1-519d-b8bb-4060a06cbef3,Aggregates,down,IfcDistributionPort,InPort_446961,IfcDistributionPort-0DQlFlMUrBlv28B80VG5n_
2af07c59-ead1-519d-b8bb-4060a06cbef3,Aggregates,down,IfcDistributionPort,OutPort_446961,IfcDistributionPort-3Imapd3PfFwgxz_ONVQxfF
94a83b9d-c39a-54f7-90d1-cc68c2b3c0cf,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
94a83b9d-c39a-54f7-90d1-cc68c2b3c0cf,Aggregates,down,IfcDistributionPort,OutPort_446962,IfcDistributionPort-24K$jVXMH0L8CZwwK29j1o
f6bb6d69-6e32-554f-b198-ae924f927507,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
f6bb6d69-6e32-554f-b198-ae924f927507,Aggregates,down,IfcDistributionPort,InPort_446963,IfcDistributionPort-259uZgBMj1b9GTpjIJw4x1
f6bb6d69-6e32-554f-b198-ae924f927507,Aggregates,down,IfcDistributionPort,OutPort_446963,IfcDistributionPort-3N0YFo_Ar358Q8DzasV1T_
f6bb6d69-6e32-554f-b198-ae924f927507,Aggregates,down,IfcDistributionPort,InPort_446963,IfcDistributionPort-3fpmriNmv49w6Q_3JEBNJQ
c880391f-a78b-5a1b-b579-0358e0c726c8,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
c880391f-a78b-5a1b-b579-0358e0c726c8,Aggregates,down,IfcDistributionPort,OutPort_446964,IfcDistributionPort-1e$aQfuzPA_w2tpGVJcjsz
c880391f-a78b-5a1b-b579-0358e0c726c8,Aggregates,down,IfcDistributionPort,InPort_446964,IfcDistributionPort-0giY3vt8P4WvWQtmNdVj4Y
b069abab-f1df-56d2-835c-a96230fdd0cc,ContainedIn,up,IfcSpace,16,IfcSpace-2oBLA5YgD2FBMABn8wAmw6
b069abab-f1df-56d2-835c-a96230fdd0cc,Aggregates,down,IfcDistributionPort,OutPort_446965,IfcDistributionPort-3F6mouFrX49AELZD9U9uQS
adccfcd4-a96a-5041-84d3-8af34d1bcbcb,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
adccfcd4-a96a-5041-84d3-8af34d1bcbcb,Aggregates,down,IfcDistributionPort,InPort_446996,IfcDistributionPort-2Q_X3s9JH2IORSzYGDn5JY
adccfcd4-a96a-5041-84d3-8af34d1bcbcb,Aggregates,down,IfcDistributionPort,InPort_446996,IfcDistributionPort-1GxvGNC99CRQATBgkjffYx
adccfcd4-a96a-5041-84d3-8af34d1bcbcb,Aggregates,down,IfcDistributionPort,OutPort_446996,IfcDistributionPort-1xH0JZxEz6fuq4OaI_XXz2
adccfcd4-a96a-5041-84d3-8af34d1bcbcb,Aggregates,down,IfcDistributionPort,InPort_446996,IfcDistributionPort-2GEiNzz814LxOVyOrnvyyz
fec14fa9-49ad-568e-ad52-540a9de6e2b4,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
fec14fa9-49ad-568e-ad52-540a9de6e2b4,Aggregates,down,IfcDistributionPort,OutPort_446997,IfcDistributionPort-2LvXjNssv7qeRkTaENXzzY
fec14fa9-49ad-568e-ad52-540a9de6e2b4,Aggregates,down,IfcDistributionPort,InPort_446997,IfcDistributionPort-2NI0O4R3b8sRAi_1FP6vqY
0551a19a-bb85-5437-9316-78c2ba72900e,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
0551a19a-bb85-5437-9316-78c2ba72900e,Aggregates,down,IfcDistributionPort,OutPort_446998,IfcDistributionPort-3LqwUMQsv1xuicC4OCZSnQ
21b85792-5404-5d84-ae4b-ace0e4ce965d,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
21b85792-5404-5d84-ae4b-ace0e4ce965d,Aggregates,down,IfcDistributionPort,InPort_446999,IfcDistributionPort-2n7R79j3j0TgjRoDI32w1E
21b85792-5404-5d84-ae4b-ace0e4ce965d,Aggregates,down,IfcDistributionPort,OutPort_446999,IfcDistributionPort-3r1$sIksHFmxkP96FJWK7v
21b85792-5404-5d84-ae4b-ace0e4ce965d,Aggregates,down,IfcDistributionPort,InPort_446999,IfcDistributionPort-0onNxZJ2r7wgs5ExbDpwIM
5d7d4d1e-cabf-5d4a-97eb-eefac4c977ae,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
5d7d4d1e-cabf-5d4a-97eb-eefac4c977ae,Aggregates,down,IfcDistributionPort,InPort_447000,IfcDistributionPort-2FKmvo$5z4uP4lSn7xlCD0
5d7d4d1e-cabf-5d4a-97eb-eefac4c977ae,Aggregates,down,IfcDistributionPort,OutPort_447000,IfcDistributionPort-0x2wKdYQjEJhJK_$XIfOWy
472b37a4-b568-5444-921d-633e675aed02,ContainedIn,up,IfcSpace,17,IfcSpace-2oBLA5YgD2FBMABn8wAmw3
